Ruta	Descripción	Fecha Gaceta	Fecha Vigencia
I	DESAMPARADOS-MORAVIA	AUTOTRANSPORTES MORAVIA, S.A./AUTOTRANSPORTES DESAMPARADOS, S.A./AUTOTRANSPORTES SAN ANTONIO, S.A./CONSORCIO OPERATIVO DEL ESTE S. A.	(RA-400)
I	URUCA - GUADALUPE 	GUADALUPE, LIMITADA/COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)/BUSES INA URUCA S.A.	(RA-400)
I	URUCA-ESCAZU	BUSES INA URUCA S.A./AUTOTRANSPORTES PAVAS, S.A./COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-400)
I	SANTA ANA - SAN ANTONIO DE BELEN - LA VALENCIA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A. / TRANSPORTES UNIDOS LA CUATROCIENTOS, S.A. / AUTOBUSES BARRANTES ARAYA, S.A. / TRANSPORTES FERNANDO ZUÑIGA E HIJOS, S.A.	(RA-400)
I	ESCAZU - ALAJUELITA - HATILLO	COMPAÑÍA DE INVERSIONES LA TAPACHULA,S.A./CONSORCIO DE TRANSPORTES COOPERATIVOS METROCOOP, R.L./TRANSPORTES DOSCIENTOS CINCO, S.A	(RA-400)
I	GUADALUPE - MORAVIA - LA VALENCIA	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)/AUTOTRANSPORTES MORAVIA, S.A./EMPRESA GUADALUPE, LIMITADA	(RA-400)
01	SAN JOSE-Bº MEXICO	TRANSPORTES GUILIAL S.A.	(RA-107)
05-05 A	SAN JOSE-Bº LA CRUZ-SEMINARIO-C.C. DEL SUR	TRANSPORTES GUILIAL S.A.	(RA-107)
05-05 A	SAN JOSE-Bº LA CRUZ-SAN CAYETANO-Bº EL CARMEN	TRANSPORTES GUILIAL S.A.	(RA-107)
02-02 A	SAN JOSE-SABANA-CEMENTERIO	AUTOTRANSPORTES SABANA CEMENTERIO S.A.	(RA-100)
02-02 A	SAN JOSE-Bº LA PITAHAYA	AUTOTRANSPORTES SABANA CEMENTERIO S.A.	(RA-100)
3	SAN JOSE-Bº CRISTO REY-Bº CUBA	TRANSMASOMA S.A.	(RA-099)
16	SAN JOSE-Bº ESCALANTE-UNIVERSIDAD	TRANSPORTES GUILIAL S.A.	(RA-107)
06	SAN JOSE-Bº LUJAN	AUTOTRANSPORTES RARO S.A.	(RA-069)
59	SAN JOSE-CURRIDABAT-Bº LA LIA-EXT LOMAS DEL SOL	AUTOTRANSPORTES RARO S.A.	(RA-069)
61	SAN JOSE-TIRRASES POR CURRIDABAT	AUTOTRANSPORTES RARO S.A.	(RA-069)
07	SAN JOSE-CEMENTERIO-SABANA	TRANSCESA S.A.	(RA-070)
13	SAN JOSE-SABANA-ESTADIO	TRANSCESA S.A.	(RA-070)
08	SAN JOSE-RUTA PERIFERICA	DISCAR S.A.	(RA-061)
09	SAN JOSE-SAN ANTONIO DE ESCAZU	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SAN ANTONIO DE ESCAZU-Bº EL CARMEN	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SAN ANTONIO DE ESCAZU-EL CURIO	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU CENTRO	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU-VISTA DE ORO	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU-Bº CORAZON DE JESUS	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU-Bº EL CARMEN-BEBEDERO	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU-SANTA TERESA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU-GUACHIPELIN x LOS ANONOS	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-GUACHIPELIN-PAVICEN x PISTA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU-BELLO HORIZONTE	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU-LOTES BADILLA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU-LOS ANONOS	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	CIRCUNVALACION ESCAZU	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-PIEDADES	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA-PIEDADES	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-SALITRAL-QUEBRADOR	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-POZOS-I.M.A.S.-ESFUERZO	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	CIUDAD COLON-PIEDADES (PERIFERICA)	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA-BRASIL POR CALLE VIEJA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA-BRASIL POR PISTA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA-SALITRAL	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA-POZOS	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA-POZOS-BARRIO CORAZON DE JESUS (IMAS)	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA-TRINIDAD DE SANTA ANA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA-BARRIO ESPAÑA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-MULTIPLAZA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-FORUM	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-SALITRAL	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-SALITRAL-MATINILLA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-SALITRAL-CALLE LOS MONTOYA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-EL QUEBRADOR-CALLE MACHETE-B° SAN RAFAEL-SANTA ANA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-PIEDADES-B° LOS ANGELES-LA PROMESA-PISTA-SANTA ANA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-B° ESPAÑA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-LINDORA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-POZOS-B° CORAZON DE JESUS (IMAS)	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-PIEDADES-CIUDAD COLON, POR BRASIL Y TRINIDAD	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	CIRCUNVALACION SANTA ANA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
10	SAN JOSE-HOSPITAL MEXICO x LA URUCA	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-LA URUCA-LA PEREGRINA	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-LA URUCA-Bº CORAZON DE JESUS	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-LA URUCA-LEON XIII	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-HOSPITAL MEXICO x LA PISTA	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-PARQUE DE DIVERSIONES	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-LA URUCA-URB. ROSSITER CARBALLO	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-LA CARPIO-CANAL 13 x URUCA	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-LA CARPIO-CANAL 13 x PISTA	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-I.N.A.	BUSES INA URUCA S.A.	(RA-080)
14	SAN JOSE-PAVAS-ZONA 1	AUTOTRANSPORTES PAVAS, S.A.	(RA-023)
14	SAN JOSE-PAVAS-ZONA 2	AUTOTRANSPORTES PAVAS, S.A.	(RA-023)
14	SAN JOSE-PAVAS-BOULEVARD-HOSPITAL PSIQUIATRICO	AUTOTRANSPORTES PAVAS, S.A.	(RA-023)
